heure,niveau,tache
"2023-06-26 13:35:59,272",ERROR, paramiko.ssh_exception.SSHException: Error reading SSH protocol banner
"2023-06-26 13:35:59,272",ERROR,N/A
"2023-06-26 13:35:59,303",ERROR,N/A
"2023-06-26 13:35:59,303",ERROR,N/A
"2023-06-26 13:35:59,303",ERROR,N/A
"2023-06-26 13:35:59,303",ERROR,N/A
"2023-06-26 13:35:59,303",ERROR,N/A
"2023-06-26 13:35:59,303",ERROR,N/A
"2023-06-26 13:35:59,304",ERROR,N/A
"2023-06-26 13:35:59,304",ERROR,N/A
"2023-06-26 13:35:59,304",ERROR,N/A
"2023-06-26 13:35:59,304",ERROR,N/A
